Design Variation:  chainL='0.68000000000000005um' chainW='1um' CJ='11.699999999999999fF' CJ_SQUID='32.759999999999998fF' d='0.050000000000000003' extCouplingL='10um' extCouplingW='1um' fstLidExtL='3um' fstLidL='10um' fstLidW='50um' JJ_dummy_L='0.10000000000000001um' LJ='0.87nH' LJ_SQUID='6.2000000000000002nH' lstLidL='3um' lstLidW='1um' N='19' N_SQ='9' pitL='0um' pitW='2um' spacingChain='0.16um' spacingCoupling='1um' SQUIDbufferL='40um' SQUIDbufferL2='3um' SQUIDislandL='3um' SQUIDJJL='5um' SQUIDJJW='1um' SQUIDLidL='2um' SQUIDLidW='10um' stripeW='465.21199999999999um' subL='1.5mm' subT='525um' subW='1.5mm'
Setup1:LastAdaptive
Problem Type:  C
C Units:fF, G Units:mSie
Reduce Matrix:  Original
Frequency:  21GHz

Capacitance Matrix
,feed,first_island,gnd,island,island_1,island_2,island_3,island_4,island_5,island_6,island_7,island_8,island_25,island_25_1,island_25_2,island_25_3,island_25_4,island_25_5,island_25_6,island_25_7,island_25_8,last_island,SQUID_lid1,SQUID_lid2,
island_7,-1.321031838942278E-02,-2.070922638407672E-02,-3.861041017487416E-03,-9.999339036599736E-04,-1.312675066226356E-03,-1.805170444709024E-03,-2.679049006902090E-03,-4.527094558437143E-03,-9.788823003978115E-03,-6.362948655207080E-02,2.174869536763440E-01,-6.396109285318566E-02,-7.282052771922342E-06,-6.874276376233068E-06,-7.108741280476263E-06,-7.197742382172886E-06,-7.314571162424070E-06,-7.613421335557411E-06,-7.503374240818707E-06,-7.604231107776298E-06,-7.669560253939958E-06,-7.122969463957891E-05,-3.035415905567630E-02,-2.518695891141260E-04
island_8,-1.355730660543934E-02,-1.972530260786788E-02,-4.011290113569837E-03,-8.067970695992514E-04,-1.021907884749001E-03,-1.336031480007412E-03,-1.836202075111561E-03,-2.726877085356030E-03,-4.590734534316690E-03,-9.900710785794428E-03,-6.396109285318566E-02,2.152131640538130E-01,-7.624562122392959E-06,-7.203103187384914E-06,-7.445574575344900E-06,-7.537693637294872E-06,-7.659182694715299E-06,-7.969504822803285E-06,-7.853588421441817E-06,-7.958454574499874E-06,-8.026303852720246E-06,-7.453933428914469E-05,-9.105854815003799E-02,-2.638840097468395E-04
island_25,-1.244220147763918E-02,-1.302231643514589E-03,-8.985301497540321E-03,-5.457212604833189E-06,-5.746150175389009E-06,-6.012105991755950E-06,-6.275646996102031E-06,-6.542949377261911E-06,-6.795654390127164E-06,-7.042171276656272E-06,-7.282052771922342E-06,-7.624562122392959E-06,2.191935007385167E-01,-6.469361146440318E-02,-9.967486222372920E-03,-4.633903402519737E-03,-2.757707073253161E-03,-1.920147831724482E-03,-1.369887640084036E-03,-1.065615383188482E-03,-8.575917223119383E-04,-3.969616310563864E-03,-8.687461343627455E-03,-9.593245774016977E-02
island_25_1,-1.253235655784692E-02,-1.288561114402698E-03,-9.267033829906587E-03,-5.066594752267205E-06,-5.368876743770899E-06,-5.632394032128274E-06,-5.893263310533650E-06,-6.144783370345464E-06,-6.396321782234680E-06,-6.639645263278855E-06,-6.874276376233068E-06,-7.203103187384914E-06,-6.469361146440318E-02,2.194564755411319E-01,-6.424274269293744E-02,-1.012702942361397E-02,-4.558664906904058E-03,-2.779220661055361E-03,-1.830782655969353E-03,-1.351602802772168E-03,-1.048405027634569E-03,-4.474886413058394E-03,-8.419248143532447E-03,-3.259125692098196E-02
island_25_2,-1.291106044372305E-02,-1.319389594626913E-03,-9.574849576636417E-03,-5.271120543879055E-06,-5.575894328788886E-06,-5.843963775539357E-06,-6.109273699848396E-06,-6.365488366472814E-06,-6.621392135777225E-06,-6.869314938484739E-06,-7.108741280476263E-06,-7.445574575344900E-06,-9.967486222372920E-03,-6.424274269293744E-02,2.188100435522365E-01,-6.422983226305583E-02,-9.848176920011971E-03,-4.683467978532298E-03,-2.707234638038586E-03,-1.849522264229308E-03,-1.363423005010599E-03,-5.313077138630901E-03,-8.179728980118914E-03,-2.227027446459006E-02
island_25_3,-1.319759270567291E-02,-1.337561506216242E-03,-9.816902085833414E-03,-5.346866966530168E-06,-5.651885253057710E-06,-5.922314589852831E-06,-6.189914058775103E-06,-6.448223062912861E-06,-6.706424344377156E-06,-6.956373401743137E-06,-7.197742382172886E-06,-7.537693637294872E-06,-4.633903402519737E-03,-1.012702942361397E-02,-6.422983226305583E-02,2.196646948630514E-01,-6.494228841668809E-02,-1.020689032710230E-02,-4.531260720669912E-03,-2.713148455910804E-03,-1.850592854703644E-03,-6.379597229432593E-03,-7.932888282491574E-03,-1.738908185048614E-02
island_25_4,-1.355325469154303E-02,-1.362091224902362E-03,-1.011329081421744E-02,-5.440847843194278E-06,-5.748069880356913E-06,-6.022227933276353E-06,-6.293470214671319E-06,-6.555141618465132E-06,-6.816887649030637E-06,-7.070097329299748E-06,-7.314571162424070E-06,-7.659182694715299E-06,-2.757707073253161E-03,-4.558664906904058E-03,-9.848176920011971E-03,-6.494228841668809E-02,2.200836119608616E-01,-6.533242172640467E-02,-9.793878810066783E-03,-4.543385274983171E-03,-2.724945767283522E-03,-7.930503635698303E-03,-7.750353636487585E-03,-1.447706790597334E-02
island_25_5,-1.422197324083390E-02,-1.421471289551086E-03,-1.064021163587106E-02,-5.670955126974273E-06,-5.987102809761509E-06,-6.270612757856573E-06,-6.551048910116310E-06,-6.831043986176803E-06,-7.100741161257265E-06,-7.361591778704301E-06,-7.613421335557411E-06,-7.969504822803285E-06,-1.920147831724482E-03,-2.779220661055361E-03,-4.683467978532298E-03,-1.020689032710230E-02,-6.533242172640467E-02,2.219802066496932E-01,-6.448757831750945E-02,-1.000479916957851E-02,-4.686583870920476E-03,-1.057639055291297E-02,-7.769616686323635E-03,-1.277549352244715E-02
island_25_6,-1.416541762218206E-02,-1.404238331285462E-03,-1.064475746634714E-02,-5.594369378723455E-06,-5.904125781290438E-06,-6.183055950352177E-06,-6.458909618338542E-06,-6.734241033172955E-06,-6.999425625748897E-06,-7.255862175887032E-06,-7.503374240818707E-06,-7.853588421441817E-06,-1.369887640084036E-03,-1.830782655969353E-03,-2.707234638038586E-03,-4.531260720669912E-03,-9.793878810066783E-03,-6.448757831750945E-02,2.193467507504976E-01,-6.502117248947741E-02,-1.007083270249794E-02,-1.452447945142417E-02,-7.396872170419159E-03,-1.092098669001420E-02
island_25_7,-1.450576559833779E-02,-1.426439993765136E-03,-1.094823932244716E-02,-5.674389584051620E-06,-5.986864687918836E-06,-6.269092065220832E-06,-6.548149778932727E-06,-6.826685475371016E-06,-7.094779138443416E-06,-7.354045611175350E-06,-7.604231107776298E-06,-7.958454574499874E-06,-1.065615383188482E-03,-1.351602802772168E-03,-1.849522264229308E-03,-2.713148455910804E-03,-4.543385274983171E-03,-1.000479916957851E-02,-6.502117248947741E-02,2.193714647299678E-01,-6.469985133710951E-02,-2.370657849006799E-02,-7.261555166856211E-03,-9.776642429124544E-03
