N,fstLidL,Cc_first,Cc_last,Cc_middle,Cg_first,Cg_last,Cg_middle,L SQUID um,d,FREQ1 GHz,FREQ2 GHz,KAPPA MHz,T1_PURCELL us,TPHI_CHARGE us,G_COUPLING MHz
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.9,0.005553201719615808,3.708483895664473,18.753785190152126,0.00037579526504427516,58.3570989737669,0.0001042744982257617,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.9,0.006880363458503046,3.7350962870142506,18.75379065737684,0.0003815642458894975,57.54518233049153,0.00010907174181574003,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.9,0.008524704073667096,3.775060264196577,18.753798953209117,0.00039032547599534916,56.34546773432116,0.00011533422809364987,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.9,0.010562026262404352,3.834461457121075,18.753811474917615,0.0004035668162169712,54.605954245678035,0.00012361008983643082,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.9,0.013086248836756471,3.921515407189168,18.753830241710073,0.00042345085462554125,52.15140981804658,0.0001347209214557035,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.9,0.016213736300493404,4.046746997119079,18.753858116097284,0.00045307045085327276,48.816443550271316,0.00014995365841976476,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.9,0.020088663153305576,4.222783687992565,18.75389907928529,0.0004967845559560713,44.507540187525656,0.00017143331167894093,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.9,0.024889660212044785,4.463657394870122,18.75395858565898,0.0005606826634399444,39.28114722549137,0.00020287807354526182,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.9,0.030838049338743966,4.783711755549189,18.754044052959845,0.000653279471315852,33.39496085728984,0.0002511861450672906,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.9,0.038208046189340886,5.196393293687804,18.754165581878368,0.0007866203199415264,27.28020270728575,0.0003299016211251587,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.9,0.047339401321103994,5.71320850906878,18.754337042170594,0.0009781047696088428,21.4256327037865,0.00046714690045828404,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.9,0.05865306240301117,6.343011824093589,18.75457776377432,0.0012536155090798514,16.23242272687076,0.0007249109060529334,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.9,0.0726705795435964,7.091763990330837,18.754915363476066,0.001653248494050823,11.920818194972702,0.001249755332571815,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.9,0.09003814830529722,7.962991372014168,18.75539096406245,0.0022427397431024954,8.523743964157692,0.002418795703130615,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.9,0.11155639876771924,8.95911419056156,18.756069740626202,0.0031384089898517115,5.943252675567803,0.005302903421089087,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.9,0.13821730389018025,10.083389785326649,18.757063894378575,0.004567237432540107,4.023275607629483,0.013300055177152784,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.9,0.17124990861751013,11.341710346061452,18.758587528947125,0.007031227308303204,2.6057523099309243,0.03861815099744437,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.9,0.212176987801808,12.743453529624134,18.76110832197758,0.011848354953027482,1.5610670355624323,0.13167229796171162,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.9,0.26288524482193754,14.30096079527666,18.765877515174008,0.02352287912108962,0.8001416187318299,0.5359328850209195,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.9,0.3257122869971348,16.026208551300844,18.77771520649735,0.06700565448088706,0.281234159656033,2.6532511365121696,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.9,0.4035543872869771,17.8905244213512,18.84471622162294,0.6517142155529536,0.019684042467447153,16.318441804381628,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.9,0.5,18.68867848519435,20.193706257989994,6.2522683457747865,0.07220848847678776,127.67779573107158,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.001,3.2959477755778837,18.752791714136922,0.00026386994533151166,82.77688119954023,0.00010017360661477674,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.0012389903709420908,3.2971820906504785,18.752791912994653,0.00026407763434775595,82.71791187571266,0.00010116777996925645,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.0015350971392872196,3.299074637966993,18.752792218060776,0.00026439627043622617,82.62756651495563,0.0001024149462156818,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.0019019705740376145,3.301974610084781,18.752792685900697,0.00026488494107595843,82.4892961447202,0.00010398397161929903,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.002356523227047805,3.3064140026029616,18.75279340298715,0.00026563401929884166,82.27801827352181,0.00010596483778026499,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.002919709587213616,3.3132000811463906,18.752794501230632,0.00026678141061590673,81.95597651813547,0.00010847634433732545,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.003617492064504977,3.323550427686075,18.752796181204282,0.00026853690208037225,81.4669352989371,0.00011167725823425141,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.004482037834881091,3.3392848716277466,18.75279874641927,0.0002712182130484632,80.72849754733656,0.0001157828235739652,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.005553201719615808,3.3630868289594895,18.752802652956582,0.0002753034028095707,79.62297600356847,0.00012108990855102416,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.006880363458503046,3.3988354918384363,18.752808579384713,0.00028150509710428504,77.98888640207855,0.00012801671051002067,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.008524704073667096,3.451981878970278,18.752817521769746,0.00029087252298243927,75.61842807926864,0.00013716835971900866,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.010562026262404352,3.529890440165569,18.752830917177292,0.00030492645438175625,72.27133430508412,0.00014945129117594437,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.013086248836756471,3.642005072646905,18.752850797460688,0.0003258323259120947,67.71948671931942,0.00016628418102207008,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.016213736300493404,3.7996699522098294,18.752879976595615,0.0003566213289728192,61.83127798925373,0.00019000738179180928,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.020088663153305576,4.015508200684755,18.752922284562775,0.00040148475206731827,54.67875483381096,0.00022471184978367303,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.024889660212044785,4.302442158331347,18.75298287916166,0.00046619640619664543,46.609492628796275,0.0002779800479195949,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.030838049338743966,4.672604470890636,18.753068685875782,0.0005587566699879073,38.211236684749764,0.0003646857108357931,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.038208046189340886,5.136395353766625,18.75318903123686,0.0006904049626986499,30.154864801733584,0.0005156827867272584,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.047339401321103994,5.701836224278362,18.753356574939545,0.0008772628292719439,22.99518269394518,0.0007989088817125565,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.05865306240301117,6.3743448020130895,18.75358878211027,0.0011431718233686217,17.040793667505227,0.001374784132411966,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.0726705795435964,7.157138625116389,18.753910517433475,0.0015250298699771504,12.342844076145765,0.0026554509495070955,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.09003814830529722,8.052423255897914,18.754359053424892,0.002083690161458714,8.770836189755181,0.005809200040763152,
