N,fstLidL,Cc_first,Cc_last,Cc_middle,Cg_first,Cg_last,Cg_middle,FREQ1 GHz,FREQ2 GHz,KAPPA MHz,T1_PURCELL us,G_COUPLING MHz
60,1.0,1.02123046860606e-15,9.28325832496771e-17,5.270512130585451e-17,3.6136768644030604e-17,3.27195548570296e-17,1.8215133259027802e-17,20.19550178998011,26.51830730723383,1.1183172861865143,105.76034102985103,168.33667334669303
60,3.0,1.6723794251852002e-15,8.98614602533981e-17,4.8979278725936905e-17,6.90361686447535e-17,3.2848521555395705e-17,1.7562404366751002e-17,19.49224896338022,26.437441583261943,2.160293956441278,97.67295352938415,156.31262525050164
60,5.0,2.2554451837026402e-15,8.86442243073878e-17,4.801144090259061e-17,9.44826164705317e-17,3.31975514439328e-17,1.76472999952135e-17,18.926303741673742,26.355889205175057,3.018632104988267,87.8482155675418,156.31262525050164
60,7.0,2.74085701734225e-15,8.610231310954091e-17,4.817899627510451e-17,1.20329070229765e-16,3.3158420522884803e-17,1.8208549399326002e-17,18.4900344289564,26.265772841498396,3.6722618745118103,82.89890443530379,156.31262525050164
60,9.0,3.3002734709199404e-15,8.5208008883035e-17,4.7657986400251205e-17,1.4163999913151103e-16,3.35522986870286e-17,1.84209006840689e-17,18.134564262542366,26.224363789471994,4.402627434947468,76.17383227304825,150.30060120240594
60,11.0,3.839013319844311e-15,8.724138961152801e-17,4.941728090906241e-17,1.62313463712103e-16,3.50400129185131e-17,1.94975703063572e-17,17.68307463388261,26.065483864877475,5.06635658014787,67.29852829851012,156.31262525050164
60,13.0,4.37373543180732e-15,8.777490270016571e-17,4.7162281997750505e-17,1.82278205736255e-16,3.5897567091324804e-17,1.8959828464587e-17,17.58349796391635,26.146424014368918,5.641661365459658,62.335324920583865,156.31262525050164
60,15.0,4.8011734003958505e-15,8.69921031029953e-17,4.6740231913077506e-17,2.0392114701856103e-16,3.63589372746402e-17,1.92060390555891e-17,17.424218329990115,26.134210872236107,6.110773867536575,59.78311602737548,150.300601202404
60,17.0,5.370096114173391e-15,8.627491242019622e-17,4.60163276231996e-17,2.22926093470951e-16,3.6648914359027e-17,1.92225381016659e-17,17.273331612254854,26.143253550769813,6.660981849702421,56.83907072564064,150.30060120240498
60,19.0,5.8712757121814e-15,8.56111997232676e-17,4.56619645018403e-17,2.4329733018754e-16,3.7054368535087e-17,1.94374482138143e-17,17.134725413294248,26.133885554064328,7.148398606768146,54.60397724765704,156.31262525050164
60,21.0,6.40337588330977e-15,8.500474784133262e-17,4.533118478916931e-17,2.6150633042960606e-16,3.73854864033357e-17,1.9609468189229702e-17,17.008337573507546,26.12711127630435,7.631541509816023,52.549668514423274,150.30060120240498
70,1.0,9.953015470965011e-16,8.798851462461081e-17,4.57399433270312e-17,3.63849215984747e-17,3.41514171194379e-17,1.7456076660941603e-17,19.217927849944665,25.956311736077488,1.2079649428524029,122.8887170854361,150.30060120240594
70,3.0,1.6690392288804602e-15,8.67056716938338e-17,4.3412552370702606e-17,6.7598748249088e-17,3.4577376694901204e-17,1.7031963979189503e-17,18.408422470395543,25.796395920988406,2.400859055306432,109.31615335368839,144.2885771543083
70,5.0,2.2508838543249403e-15,8.726893887972611e-17,4.40741096651624e-17,9.27526962476235e-17,3.5658153545602906e-17,1.77262165755201e-17,17.710912261877482,25.59434245407502,3.3317661034145356,95.00381512046708,144.2885771543083
70,7.0,2.7360448034712902e-15,8.47197077147822e-17,4.2398856272757804e-17,1.17239530453449e-16,3.5490504642375504e-17,1.74991395229359e-17,17.414448332894466,25.61031384292308,4.074392985420876,90.23242367107646,138.2765531062107
70,9.0,3.2865391067941503e-15,8.533690165695151e-17,4.30719885558687e-17,1.38919097504312e-16,3.6512974144985596e-17,1.81573723561376e-17,16.960950008004,25.47807537536729,4.837839927560759,80.55569344062198,138.27655310621262
70,11.0,3.8302522231780104e-15,8.296123608676911e-17,4.4543078563803e-17,1.5940362589954904e-16,3.6163442095815e-17,1.9135844950956703e-17,16.524859183836263,25.311144101906795,5.537330943292043,76.42960009944989,138.27655310621262
70,13.0,4.355237763448211e-15,8.32643650624558e-17,4.617336671547511e-17,1.7941368866542602e-16,3.70204971679967e-17,2.02421022360621e-17,16.12418345155553,25.13489027023538,6.197953278090337,69.9767580271669,138.27655310621262
70,15.0,4.778303651543231e-15,8.157460197676541e-17,4.37916915216224e-17,2.0057707644816302e-16,3.69859201689111e-17,1.9577016733680302e-17,16.121873619573176,25.263793967847374,6.688432621822848,68.45695474320321,132.26452905811595
70,17.0,5.358071461746081e-15,8.19503868778036e-17,4.54428460716649e-17,2.1977139931503103e-16,3.7808120506058706e-17,2.0675698443153703e-17,15.758368249459442,25.093165849175023,7.3532894067320145,62.96865082188304,138.27655310621262
70,19.0,5.87693868395357e-15,8.13395532155459e-17,4.5104312018016004e-17,2.39587176436755e-16,3.81853340423697e-17,2.0883673430808803e-17,15.605128873728363,25.077663407540026,7.906292700226523,60.08687327428099,132.26452905811595
70,21.0,6.408810505609501e-15,8.131873713610311e-17,4.4936592722206204e-17,2.57248544879837e-16,3.87442192483307e-17,2.1143816477133602e-17,15.454207040369221,25.052683257435078,8.453541509282742,56.97940601537417,132.26452905811595
80,1.0,1.00210213399465e-15,8.445054458007611e-17,4.4086493788175803e-17,3.5443462254859404e-17,3.551334202890391e-17,1.8262450317516902e-17,17.972046853941574,25.150110205355038,1.2562573166805406,133.87093004172903,138.27655310621262
80,3.0,1.6684061515771001e-15,8.326649455969721e-17,4.3452337531999305e-17,6.635068700908819e-17,3.5936677343298604e-17,1.8480305863371404e-17,17.07547491090107,24.845278175449902,2.478137982523105,119.41114055684426,132.26452905811595
80,5.0,2.24996631329811e-15,8.23064185506877e-17,4.2938878062500405e-17,9.103955464440321e-17,3.63490175702432e-17,1.86919934337029e-17,16.487806368401454,24.69130174956019,3.5019624548578085,107.50220609016165,126.2525050100193
80,7.0,2.73225132270735e-15,8.13949421587039e-17,4.09077261714843e-17,1.1544988533834102e-16,3.683845627049711e-17,1.8263557900389302e-17,16.223388347205344,24.729838219958715,4.323363793145102,99.57089824006376,126.2525050100193
80,9.0,3.2883758637831603e-15,8.24909658786302e-17,4.16143879888986e-17,1.3705218351690403e-16,3.8096327232438905e-17,1.89652060043074e-17,15.758896830915146,24.566001867213192,5.140608729901564,87.81722782036138,126.2525050100193
80,11.0,3.8200259978845904e-15,8.0056689535736e-17,4.28832752367404e-17,1.5731738118001402e-16,3.7698682763859506e-17,1.99134594171684e-17,15.340005630897881,24.38375819833202,5.85874387541393,83.46691596484636,126.2525050100193
80,13.0,4.34357464099299e-15,8.039402561377001e-17,4.44840426170366e-17,1.76717636211293e-16,3.85550298320869e-17,2.1042338533165304e-17,14.939657234824407,24.178646523761984,6.526477062007024,76.11726972022072,126.25250501002026
80,15.0,4.7627785264164604e-15,7.876209388743021e-17,4.2187616497406507e-17,1.97823479377327e-16,3.8492232930272905e-17,2.0337047892107303e-17,14.930514334198172,24.32078058252025,7.075344434199122,74.23642170664583,120.2404809619236
