N,Cc_F,Cg_F,W_um,L_um,fp_target_GHz,R_Ohm,EJ_GHz,EC_GHz,d,f_chain0_GHz,f_chain1_GHz,f_minus_GHz,f_plus_GHz,g_MHz,T1_Purcell_s,f_qubit_GHz
95,6.309573444801943e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.987351127274813,28.79762638235599,25.577030812324928,26.350140056022408,386.5546218487396,0.2727651956689958,3.8492609883370767
95,1e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.97470224196471,28.79321747645343,25.56582633053221,26.33893557422969,386.5546218487396,0.10899849377494297,3.8492609883370767
95,1.584893192461111e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.95463977966152,28.78622103737137,25.53221288515406,26.30532212885154,386.5546218487396,0.0436515887997958,3.8492609883370767
95,2.5118864315095718e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.922813299846307,28.775121551873955,25.509803921568626,26.294117647058822,392.1568627450981,0.01754174336485885,3.8492609883370767
95,3.9810717055349855e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.87233164366452,28.757545795748708,25.464985994397757,26.249299719887954,392.1568627450981,0.007087428329261025,3.8492609883370767
95,6.309573444801943e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.79235247316019,28.729888817999825,25.364145658263304,26.159663865546218,397.7591036414566,0.0028877603449792076,3.8492609883370767
95,1e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.666135523776692,28.68709581142122,25.240896358543417,26.047619047619044,403.3613445378151,0.0011920362562519088,3.8492609883370767
95,1.5848931924611109e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.46902234740284,28.623415732788715,25.03921568627451,25.868347338935575,414.56582633053205,0.0005019356719183376,3.8492609883370767
95,2.511886431509582e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.168445902332518,28.53562711960367,24.71428571428571,25.577030812324928,431.37254901960756,0.00021772428178524396,3.8492609883370767
95,3.9810717055349695e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,24.73092765897406,28.42851752686927,24.243697478991596,25.140056022408963,448.179271708683,9.85978548454686e-05,3.8492609883370767
95,6.309573444801943e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,24.140673659093714,28.31653922152072,23.627450980392155,24.568627450980394,470.5882352941189,4.739974953509165e-05,3.8492609883370767
95,1e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,23.422309012299777,28.216226635436467,22.87675070028011,23.88515406162465,504.20168067226984,2.4636801669322444e-05,3.8492609883370767
95,1.584893192461111e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,22.645260424729717,28.13697298595294,22.081232492997195,23.14565826330532,532.2128851540623,1.4072642368068658e-05,3.8492609883370767
