N,fstLidL,Cc_first,Cc_last,Cc_middle,Cg_first,Cg_last,Cg_middle
40,7.0,2.74475644358806e-15,9.75787409771681e-17,4.93719897599191e-17,1.27775443865703e-16,3.0442335197621206e-17,1.50542966382848e-17
40,9.0,3.31754549910842e-15,9.72050404551712e-17,5.0840705084314803e-17,1.4827268212881301e-16,3.0981471367764003e-17,1.58396199145929e-17
40,11.0,3.8690820105624205e-15,9.61825454674673e-17,5.0280889768836003e-17,1.6935919672729001e-16,3.1338638925858105e-17,1.6017204506209503e-17
40,13.0,4.397019620672501e-15,9.635714021288581e-17,4.98435658236753e-17,1.8989605381916102e-16,3.19784772872446e-17,1.6167922306041e-17
40,15.0,4.828807313117461e-15,9.44699992660115e-17,4.9315777306221503e-17,2.1224313829013302e-16,3.2087437806397705e-17,1.6383423937944003e-17
40,17.0,5.3896300523368805e-15,9.46662957443909e-17,4.89570313512369e-17,2.32262697272218e-16,3.2819718284353204e-17,1.65948104279837e-17
40,19.0,5.908886151053921e-15,9.398045755878461e-17,4.8602903131378204e-17,2.5253224958197903e-16,3.3215135073524703e-17,1.6796793350737202e-17
40,21.0,6.442930104919661e-15,9.286420468951701e-17,4.8963541001522807e-17,2.72279196611532e-16,3.3368233360919803e-17,1.71995346321075e-17
50,1.0,1.02377267609286e-15,9.709872672522692e-17,5.461722193149201e-17,3.70202984139863e-17,3.0772639198187e-17,1.69313385712359e-17
50,3.0,1.7374236321725102e-15,9.666134419176611e-17,5.14825432346775e-17,6.90977103204786e-17,3.1639485602603605e-17,1.6516793179268502e-17
50,5.0,2.2693166334125403e-15,9.298166182764411e-17,4.6344410609363303e-17,9.653488513040111e-17,3.1576257525456506e-17,1.5440728217731702e-17
50,7.0,2.7333369051699003e-15,8.983889514679381e-17,4.7231756614806905e-17,1.22583391426036e-16,3.13483444783925e-17,1.61434561860224e-17
50,9.0,3.29790192277473e-15,9.02173810612222e-17,4.865623521500711e-17,1.4459028155310102e-16,3.22085537844347e-17,1.70320704173722e-17
50,11.0,3.8507527356604304e-15,9.088204262809691e-17,5.10097571009299e-17,1.6537257351909703e-16,3.31434787487443e-17,1.82488776122333e-17
50,13.0,4.393041821744271e-15,9.137022707943731e-17,4.86324785089474e-17,1.8581627496847802e-16,3.3996297433410604e-17,1.7765662972562403e-17
50,15.0,4.8300583681640806e-15,9.056250131251591e-17,4.82000713759737e-17,2.0740759213043601e-16,3.44336993250346e-17,1.7997058961959e-17
50,17.0,5.3763327213429606e-15,8.987496105140501e-17,4.783199149125171e-17,2.2729505654039604e-16,3.4799122668456504e-17,1.8189501481682e-17
50,19.0,5.88041716539549e-15,8.916963857104571e-17,4.7443715567383106e-17,2.47618195914047e-16,3.5170577682151805e-17,1.8383228627064102e-17
50,21.0,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17
60,1.0,1.02123046860606e-15,9.28325832496771e-17,5.270512130585451e-17,3.6136768644030604e-17,3.27195548570296e-17,1.8215133259027802e-17
60,3.0,1.6723794251852002e-15,8.98614602533981e-17,4.8979278725936905e-17,6.90361686447535e-17,3.2848521555395705e-17,1.7562404366751002e-17
60,5.0,2.2554451837026402e-15,8.86442243073878e-17,4.801144090259061e-17,9.44826164705317e-17,3.31975514439328e-17,1.76472999952135e-17
60,7.0,2.74085701734225e-15,8.610231310954091e-17,4.817899627510451e-17,1.20329070229765e-16,3.3158420522884803e-17,1.8208549399326002e-17
60,9.0,3.3002734709199404e-15,8.5208008883035e-17,4.7657986400251205e-17,1.4163999913151103e-16,3.35522986870286e-17,1.84209006840689e-17
60,11.0,3.839013319844311e-15,8.724138961152801e-17,4.941728090906241e-17,1.62313463712103e-16,3.50400129185131e-17,1.94975703063572e-17
60,13.0,4.37373543180732e-15,8.777490270016571e-17,4.7162281997750505e-17,1.82278205736255e-16,3.5897567091324804e-17,1.8959828464587e-17
60,15.0,4.8011734003958505e-15,8.69921031029953e-17,4.6740231913077506e-17,2.0392114701856103e-16,3.63589372746402e-17,1.92060390555891e-17
60,17.0,5.370096114173391e-15,8.627491242019622e-17,4.60163276231996e-17,2.22926093470951e-16,3.6648914359027e-17,1.92225381016659e-17
60,19.0,5.8712757121814e-15,8.56111997232676e-17,4.56619645018403e-17,2.4329733018754e-16,3.7054368535087e-17,1.94374482138143e-17
60,21.0,6.40337588330977e-15,8.500474784133262e-17,4.533118478916931e-17,2.6150633042960606e-16,3.73854864033357e-17,1.9609468189229702e-17
70,1.0,9.953015470965011e-16,8.798851462461081e-17,4.57399433270312e-17,3.63849215984747e-17,3.41514171194379e-17,1.7456076660941603e-17
70,3.0,1.6690392288804602e-15,8.67056716938338e-17,4.3412552370702606e-17,6.7598748249088e-17,3.4577376694901204e-17,1.7031963979189503e-17
